repo,readme_length,readme_lines,ethereum_keywords,protocol_keywords,code_blocks,has_docs_link,has_changelog,has_install,has_badge
argotorg/solidity,4165,92,6,0,1,1,0,0,1
ethereum/eips,5110,87,5,7,5,1,0,0,0
openzeppelin/openzeppelin-contracts,9121,122,13,1,4,1,0,1,1
ethereum/go-ethereum,16223,256,12,8,7,1,1,1,1
ethereum/consensus-specs,5031,112,3,6,4,1,0,1,1
nomicfoundation/hardhat,1172,31,5,0,1,1,0,0,0
offchainlabs/prysm,3037,68,4,5,0,1,1,1,1
ethers-io/ethers.js,6067,140,7,0,2,1,1,1,1
ethereum/execution-apis,6690,199,3,5,6,1,0,1,0
foundry-rs/foundry,3117,94,9,0,4,1,0,1,1
erigontech/erigon,6583,174,1,3,5,0,1,0,0
supranational/blst,15681,227,4,2,8,1,0,0,1
sigp/lighthouse,3188,81,5,4,0,1,0,0,1
nethermindeth/nethermind,5226,136,5,2,8,1,0,1,1
remix-project-org/remix-project,10868,280,6,2,19,1,0,0,1
flashbots/mev-boost,15946,415,7,11,13,1,0,1,1
ethereum/web3.py,1883,41,7,0,1,1,0,1,1
consensys/teku,5782,135,5,5,4,1,1,0,1
hyperledger/besu,3920,72,5,0,0,1,1,0,1
libp2p/libp2p,8220,110,2,3,0,1,0,0,0
flashbots/mev-boost-relay,19552,402,8,8,5,0,0,0,1
wevm/viem,11255,230,11,2,1,1,0,0,0
argotorg/sourcify,3973,50,6,2,0,1,0,0,1
chainsafe/lodestar,14222,79,5,7,1,1,0,1,1
wighawag/hardhat-deploy,7392,124,8,3,1,1,0,0,0
ethereum/js-ethereum-cryptography,20483,515,4,3,16,1,1,1,0
paradigmxyz/reth,11500,154,7,6,2,1,1,1,1
safe-global/safe-smart-account,5297,129,10,4,7,1,0,0,1
ethereum/py_ecc,866,20,3,0,1,1,0,1,1
paulmillr/noble-curves,42133,1033,6,6,24,1,1,1,0
vyperlang/vyper,4218,84,5,1,4,1,0,1,1
herumi/mcl,14246,400,4,6,20,0,1,1,1
blockscout/blockscout,3309,51,9,3,0,1,0,0,1
ipsilon/evmone,5310,160,5,1,8,0,0,0,1
lfdt-web3j/web3j,9828,290,11,1,10,1,0,0,1
l2beat/l2beat,1538,27,3,3,0,1,1,0,0
ethereum-lists/chains,5125,157,9,5,5,1,0,0,0
eth-infinitism/account-abstraction,5177,147,9,7,7,0,1,1,0
scaffold-eth/scaffold-eth-2,4036,91,11,0,4,1,0,0,0
arkworks-rs/algebra,4841,95,5,4,6,0,0,0,0
vectorized/solady,8209,182,10,6,4,1,0,1,1
status-im/nimbus-eth2,8555,168,6,8,3,1,0,0,1
taikoxyz/taiko-mono,4691,68,5,2,0,1,0,0,1
protofire/solhint,13300,367,7,1,19,1,0,1,1
erigontech/silkworm,9931,243,3,5,12,1,0,0,1
consensys/gnark-crypto,7148,132,0,6,3,0,0,1,1
nethereum/nethereum,16307,276,23,11,7,1,0,0,1
flashbots/rbuilder,12878,259,7,11,10,0,0,0,1
argotorg/hevm,2736,66,6,0,3,1,1,1,0
defillama/defillama-adapters,2864,47,5,1,2,1,0,0,0
plonky3/plonky3,9308,216,3,5,2,1,0,0,1
chainsafe/bls,4979,128,3,1,8,0,0,1,1
apeworx/ape,6612,154,3,0,5,1,0,1,1
ethstaker/eth-docker,1304,35,4,0,0,1,0,0,1
certora/certoraprover,5432,107,5,1,5,1,0,1,1
defillama/chainlist,1216,41,6,1,1,0,0,0,0
dappnode/dappnode,12567,233,8,2,6,1,0,1,1
intellij-solidity/intellij-solidity,2184,53,1,1,2,1,0,0,1
wealdtech/ethdo,11387,226,5,5,9,1,0,0,1
succinctlabs/sp1,3403,40,1,2,0,1,0,1,0
lambdaclass/lambdaworks,17271,330,3,7,12,1,0,1,1
a16z/helios,11050,178,8,6,10,1,0,0,1
trueblocks/trueblocks-core,8326,193,7,1,9,1,0,1,1
shazow/whatsabi,10088,249,11,1,6,0,0,1,0
ethpandaops/ethereum-helm-charts,8329,147,9,12,7,1,0,0,1
succinctlabs/op-succinct,1986,52,2,5,2,1,0,0,0
skalenetwork/libbls,4424,124,3,1,6,1,0,1,1
smartcontracts/simple-optimism-node,7315,227,6,5,13,0,1,1,0
espressosystems/jellyfish,5051,170,2,2,13,1,0,1,0
0xmiden/miden-vm,18255,192,2,6,0,1,1,0,1
alloy-rs/alloy,13052,249,12,9,4,1,0,1,1
argotorg/fe,1479,27,3,0,0,0,0,0,0
lambdaclass/ethrex,5765,107,3,7,0,1,0,0,1
ethpandaops/ethereum-package,83384,2095,12,24,32,1,0,1,1
a16z/halmos,4954,102,4,1,6,0,0,1,1
nethermindeth/juno,4444,94,3,4,0,1,0,1,0
grandinetech/grandine,4778,120,6,6,8,1,0,0,0
otterscan/otterscan,4074,93,8,1,0,1,0,0,0
holiman/goevmlab,1549,48,4,2,0,0,0,0,0
cyfrin/aderyn,6220,145,4,0,4,1,0,1,1
commit-boost/commit-boost-client,2020,36,3,4,0,1,0,0,1
succinctlabs/rsp,1296,27,3,4,0,1,0,0,0
edb-rs/edb,5443,126,11,1,3,1,1,1,0
offchainlabs/stylus-sdk-rs,5976,114,5,1,1,1,0,0,0
evmts/tevm-monorepo,8246,244,13,2,5,1,0,1,0
risc0/risc0-ethereum,1598,31,6,3,0,1,0,0,0
vyperlang/titanoboa,10257,259,9,1,19,1,0,1,0
aestus-relay/mev-boost-relay,19552,402,8,8,5,0,0,0,1
ethstaker/ethstaker-deposit-cli,3050,44,7,7,0,1,0,0,0
ethpandaops/checkpointz,9828,272,4,7,14,0,0,1,0
powdr-labs/powdr,2090,50,1,3,1,0,0,0,1
dl-solarity/solidity-lib,6147,126,6,5,2,1,0,1,1
swiss-knife-xyz/swiss-knife,4326,58,10,6,2,0,1,0,0
axiom-crypto/snark-verifier,665,11,0,2,0,0,0,0,0
deepfunding/dependency-graph,7136,103,12,6,1,1,0,0,0
ethdebug/format,4684,109,5,1,2,1,0,0,0
lambdaclass/lambda_ethereum_consensus,19064,411,6,15,27,1,0,1,1
argotorg/act,2141,80,2,1,8,1,0,0,0
