repo,parent
https://github.com/argotorg/solidity,ethereum
https://github.com/ethereum/EIPs,ethereum
https://github.com/OpenZeppelin/openzeppelin-contracts,ethereum
https://github.com/ethereum/go-ethereum,ethereum
https://github.com/ethereum/consensus-specs,ethereum
https://github.com/NomicFoundation/hardhat,ethereum
https://github.com/OffchainLabs/prysm,ethereum
https://github.com/ethers-io/ethers.js,ethereum
https://github.com/ethereum/execution-apis,ethereum
https://github.com/foundry-rs/foundry,ethereum
https://github.com/erigontech/erigon,ethereum
https://github.com/supranational/blst,ethereum
https://github.com/sigp/lighthouse,ethereum
https://github.com/NethermindEth/nethermind,ethereum
https://github.com/remix-project-org/remix-project,ethereum
https://github.com/flashbots/mev-boost,ethereum
https://github.com/ethereum/web3.py,ethereum
https://github.com/Consensys/teku,ethereum
https://github.com/hyperledger/besu,ethereum
https://github.com/libp2p/libp2p,ethereum
https://github.com/flashbots/mev-boost-relay,ethereum
https://github.com/wevm/viem,ethereum
https://github.com/argotorg/sourcify,ethereum
https://github.com/ChainSafe/lodestar,ethereum
https://github.com/wighawag/hardhat-deploy,ethereum
https://github.com/ethereum/js-ethereum-cryptography,ethereum
https://github.com/paradigmxyz/reth,ethereum
https://github.com/safe-global/safe-smart-account,ethereum
https://github.com/ethereum/py_ecc,ethereum
https://github.com/paulmillr/noble-curves,ethereum
https://github.com/vyperlang/vyper,ethereum
https://github.com/herumi/mcl,ethereum
https://github.com/blockscout/blockscout,ethereum
https://github.com/ipsilon/evmone,ethereum
https://github.com/LFDT-web3j/web3j,ethereum
https://github.com/l2beat/l2beat,ethereum
https://github.com/ethereum-lists/chains,ethereum
https://github.com/eth-infinitism/account-abstraction,ethereum
https://github.com/scaffold-eth/scaffold-eth-2,ethereum
https://github.com/arkworks-rs/algebra,ethereum
https://github.com/Vectorized/solady,ethereum
https://github.com/status-im/nimbus-eth2,ethereum
https://github.com/taikoxyz/taiko-mono,ethereum
https://github.com/protofire/solhint,ethereum
https://github.com/erigontech/silkworm,ethereum
https://github.com/Consensys/gnark-crypto,ethereum
https://github.com/Nethereum/Nethereum,ethereum
https://github.com/flashbots/rbuilder,ethereum
https://github.com/argotorg/hevm,ethereum
https://github.com/DefiLlama/DefiLlama-Adapters,ethereum
https://github.com/Plonky3/Plonky3,ethereum
https://github.com/ChainSafe/bls,ethereum
https://github.com/ApeWorX/ape,ethereum
https://github.com/ethstaker/eth-docker,ethereum
https://github.com/Certora/CertoraProver,ethereum
https://github.com/DefiLlama/chainlist,ethereum
https://github.com/dappnode/DAppNode,ethereum
https://github.com/intellij-solidity/intellij-solidity,ethereum
https://github.com/wealdtech/ethdo,ethereum
https://github.com/succinctlabs/sp1,ethereum
https://github.com/lambdaclass/lambdaworks,ethereum
https://github.com/a16z/helios,ethereum
https://github.com/TrueBlocks/trueblocks-core,ethereum
https://github.com/shazow/whatsabi,ethereum
https://github.com/ethpandaops/ethereum-helm-charts,ethereum
https://github.com/succinctlabs/op-succinct,ethereum
https://github.com/skalenetwork/libBLS,ethereum
https://github.com/smartcontracts/simple-optimism-node,ethereum
https://github.com/EspressoSystems/jellyfish,ethereum
https://github.com/0xMiden/miden-vm,ethereum
https://github.com/alloy-rs/alloy,ethereum
https://github.com/argotorg/fe,ethereum
https://github.com/lambdaclass/ethrex,ethereum
https://github.com/ethpandaops/ethereum-package,ethereum
https://github.com/a16z/halmos,ethereum
https://github.com/NethermindEth/juno,ethereum
https://github.com/grandinetech/grandine,ethereum
https://github.com/otterscan/otterscan,ethereum
https://github.com/holiman/goevmlab,ethereum
https://github.com/Cyfrin/aderyn,ethereum
https://github.com/Commit-Boost/commit-boost-client,ethereum
https://github.com/succinctlabs/rsp,ethereum
https://github.com/edb-rs/edb,ethereum
https://github.com/OffchainLabs/stylus-sdk-rs,ethereum
https://github.com/evmts/tevm-monorepo,ethereum
https://github.com/risc0/risc0-ethereum,ethereum
https://github.com/vyperlang/titanoboa,ethereum
https://github.com/aestus-relay/mev-boost-relay,ethereum
https://github.com/ethstaker/ethstaker-deposit-cli,ethereum
https://github.com/ethpandaops/checkpointz,ethereum
https://github.com/powdr-labs/powdr,ethereum
https://github.com/dl-solarity/solidity-lib,ethereum
https://github.com/swiss-knife-xyz/swiss-knife,ethereum
https://github.com/axiom-crypto/snark-verifier,ethereum
https://github.com/deepfunding/dependency-graph,ethereum
https://github.com/ethdebug/format,ethereum
https://github.com/lambdaclass/lambda_ethereum_consensus,ethereum
https://github.com/argotorg/act,ethereum
